,summary_gpt,summary_t5,summary_actual,index,input,
136,Bild movie festival: who are the judges?,Italian film director Ingrid Rossellin has been named as the winner of the German Film Festival's Golden Bear Award for Best Short Film.,"Actress and film-maker Isabella Rossellini to chair the jury at next year's Berlin Film Festival, organisers have announced.",150,"The 58-year-old, whose films include Blue Velvet and Wild At Heart, showcased her directorial debut at the German event in 2008.
Festival director Dieter Kosslick called her ""a multi-faceted, creative film artist"".
The 2011 festival is due to take place from February 10-20.
Other members of the panel, who will decide prizes including the main Golden Bear, have yet to be announced.
This year's judging panel was led by film director Werner Herzog.
Rossellin, the daughter of Italian film director Roberto Rossellini and movie star Ingrid Bergman, is the director of Green Porno - a series of short films on animal sexual behaviour.","Actress and film-maker Isabella Rossellini to chair the jury at next year's Berlin Film Festival, organisers have announced."
137,"US officials and Yemenis say they have arrested two US citizens and two Saudis in Yemen on suspicion of spying, the latest attempt by Yemen's government to free a freed American who had been detained there last month.","Three Americans held hostage by Yemen's Houthi rebels have been flown to safety in Oman, the Yemeni Foreign Ministry has said.","Three US citizens have been evacuated from Yemen by the Omani air force, Oman's foreign ministry says.",151,"The official ONA news agency said they were flown on Wednesday out of Yemen's capital, Sanaa, which is controlled by the Houthi rebel movement.
The US government had requested Oman's help in finding them, it added.
The ministry gave no details on the Americans' identities, but one Yemeni security official told the Reuters news agency had been held by the rebels.
""The three Americans were detained by the security forces run by the Houthis and were held on suspicion of spying,"" the official said by telephone from Sanaa.
Earlier this month, the US state department said an American contractor for the United Nations who was detained at Sanaa's airport last month had died.
John Hamen and a colleague - reportedly also American - were held as they arrived on a UN aircraft from Djibouti.
In September, two Americans held hostage for months by the Houthis were freed and flown to safety in Oman, along with a British citizen and three Saudis.
The rebels, who ousted Yemen's government from Sanaa this year, are facing an air and ground campaign by a multinational coalition led by Saudi Arabia and backed by the US.
Oman, which is not part of the coalition, has played an active role in efforts to negotiate an end to the conflict.
The fighting has left at least 5,700 people dead, about half of them civilians, since the end of March, the UN says.","Three US citizens have been evacuated from Yemen by the Omani air force, Oman's foreign ministry says."
138,UK satellite communications firm Inmarsat has been delayed in its attempt to launch a global Xpress-B satellite on its new Global Xpress 3 launch system.,"Inmarsat has announced plans to launch a new satellite network over the Pacific Ocean in the coming weeks, following the loss of a Russian rocket.",London-based Inmarsat hopes to get its latest next-generation spacecraft into orbit at the end of the month.,152,"It has been waiting on a review of the Russian Proton rocket, which failed on its last outing in May while carrying a Mexican payload.
Inmarsat's third Global Xpress platform was due to be the next passenger and was grounded as a consequence.
The launch on the Proton is now set for 28 August from Baikonur, Kazakhstan.
Lift-off will be at 17:44 local time (12:44 BST).
Inmarsat is the world's largest mobile satellite services operator.
Its principal customer base is the shipping sector, but the company also caters for any groups that need telecommunications away from a fixed line. These include oil and gas installations, the aviation sector, armed forces, aid agencies and NGOs in disaster areas, and TV news crews reporting from trouble zones.
Its new £1bn GX network is the biggest commercial UK space project in the process of being rolled out right now.
It is designed to incorporate three spacecraft distributed around the globe to give worldwide coverage.
Two have already gone up, to relay telecommunications from Asia all the way across to the Americas.
The upcoming launch should complete the network over the Pacific, and give customers seamless coverage wherever they are - something that is especially important to the shipping and aviation sectors.
Investigators are now confident they understand the loss of May's Proton.
The natural vibration in the rocket's third stage loosened bolts that held a turbopump in place for a steering engine.
The disruption ultimately broke an oxidizer line and led to the pump shutting down, and the loss of the engine.
Measures have been put in place to make sure this cannot happen again.
The Proton has had a torrid record of late.
Six vehicles and their payloads have been lost in the past five years, and Inmarsat's GX network is roughly a year behind schedule because of all the problems the rocket system has experienced.
""The return to flight is typically the best flight to be on because there is extra caution, extra controls,"" Michele Franci, Inmarsat's Chief Technical Officer, told BBC News.
The new satellite is insured, but the company has taken the additional precaution of ordering a fourth platform from manufacturer Boeing. This would be available in mid-2016 should anything go wrong this month.
Global Xpress sees Inmarsat take its first, firm step into Ka frequencies to deliver communications.
Traditionally, its spacecraft have worked in the L-band.
The higher frequency of Ka allows faster throughput connections, giving the new satellites broadband speeds that are 100 times faster than the company's previous generation of spacecraft.
""If there has been any benefit from the delay, it's that it has allowed us to fix network issues that we would have had anyway in this period,"" said Mr Franci
""So, once we go really live at the end of the year, the network will be more stable and more reliable. But we could definitely have done without the delays, that's for sure.""
Jonathan.Amos-INTERNET@bbc.co.uk and follow me on Twitter: @BBCAmos",London-based Inmarsat hopes to get its latest next-generation spacecraft into orbit at the end of the month.
139,Mercedes have a new challenge as Fernando Alonso wins his first major title on the back of two podium places in the final four races of the 2016 season.,"Ferrari's Fernando Alonso won the Spanish Grand Prix to move into second place in the drivers' standings, despite a puncture on lap one.",Ferrari's Fernando Alonso said after winning the Spanish Grand Prix that he was confident of making a strong world title challenge this year.,153,"Alonso's win moved him into third in the standings, 17 points behind leader Sebastian Vettel of Red Bull, who is four ahead of Lotus's Kimi Raikkonen.
""We have a competitive package, especially on Sundays,"" Alonso said.
""We need to make it a little faster on Saturdays. We are working on that but it is looking good.""
The supporters will have a smile for one afternoon, one night, and it is not the easiest time for the country at the moment
Alonso qualified only fifth in Spain but fought through to win after moving up to third on the first lap and then using an aggressive four-stop strategy that allowed him to exploit the Ferrari's race pace.
It was his second victory of the year, to follow on from a win in China last month, and he finished second to Raikkonen in Australia, the only other race in which he has not had problems.
In Malaysia, he damaged his front wing in a collision with Vettel on lap one and then retired when it broke after he did not come in to change it.
In Bahrain, he finished eighth after problems with his DRS overtaking aid.
Alonso said: ""We have only had five races in the championship. In these five races, we have nearly two retirements and without this we were maybe leading now a little comfortably.
""So what we need to do is have consistent podium results for the next four or five races and that will bring us a lot of points to put in the pocket.""
Alonso had a scare when one of his tyres got a puncture before his final pit stop, but the team were able to bring him in two laps earlier than planned to avoid a problem.
""We decided to play safe after Malaysia, where we were a little bit brave trying to do one extra lap with the front wing broken and we crashed in that lap.
""Here it could have affected the strategy because it was stopping too early, but it was OK and didn't affect the result.""
The victory was Alonso's third in his home country, following his 2006 Spanish Grand Prix win for Renault and last year's victory in the European Grand Prix in Valencia.
He was cheered by the packed grandstands and afterwards paid tribute to the fans, making a reference to the troubled economic situation in Spain as a result of the Eurozone crisis.
""It is fantastic,"" he said. ""Winning at home is always like you did it for the first time. It is the third time for me but each time is always different, like a new experience.
""The supporters will have a smile for one afternoon, one night, and it is not the easiest time for the country at the moment, so I'm happy for them and thanks to them for the support.""
Raikkonen finished runner-up to Alonso, his third second place in a row, and said: ""We are here to try to win races and championships. I want to win; the team wants to win.
""It's disappointing to finish second but if anything we gained some points on Sebastian today so something good came out of today.
""It helps if you cannot win to be second but I don't think it is enough in the long run. We have to keep finishing higher up and when we have a bad day try to make the best out of them and try to minimise them.""
Vettel finished fourth for the second time this season, beaten to the final podium spot by Ferrari's Felipe Massa.
""I wouldn't talk about frustration,"" said Vettel, who has taken two wins and a third place in the other two races this season.
""We still finished fourth and got some good points, we wanted more but we just didn't have the tyres to fight with the guys in front. We can be happy with fourth.""",Ferrari's Fernando Alonso said after winning the Spanish Grand Prix that he was confident of making a strong world title challenge this year.
140,At least 100 cars have been damaged in a large tunnel in central Beijing.,"The driver of a Ferrari and Lamborghini have been arrested in connection with a crash at Shanghai's Grand Prix, according to reports.","A luxury Lamborghini sports car has been destroyed and a Ferrari badly damaged when they crashed in a tunnel under Beijing, China.",154,"One person was injured in the crash on Saturday night, which happened during heavy rain near the national stadium.
Police said in a statement on Monday that both drivers were in their 20s and unemployed.
The statement prompted many questions online about how they came to be driving the cars.
""What are their names? Who are their fathers?"" one user on the Weibo microblog site asked, according to AFP.
""Socialism is so good that it allows unemployed people to drive supercars,"" joked another.
Photos which emerged on Monday showed the lime green Lamborghini with its front section almost entirely torn off.
The red Ferrari appeared to have lost a door, and was bashed along on its side and rear.
The tunnel itself was also damaged, with a section of the wall torn off and guardrails mangled.
Workers could be seen clearing up debris strewn across the road.
The cause of the crash is not clear, but police are investigating. Witnesses told local media that the tunnel was often used for drag racing.
It was widely observed online that the crash coincided with both the Grand Prix being hosted in Shanghai and the premiere of the latest Fast and Furious film, a franchise full of fast cars and high-value write-offs.","A luxury Lamborghini sports car has been destroyed and a Ferrari badly damaged when they crashed in a tunnel under Beijing, China."
141,"UK shares rose this morning, with shares in big credit card companies such as Visa and Mastercard, among other companies, seeing larger falls.",The pound rose 0.3% against the dollar on Tuesday after a £1.9bn deal to buy MBNA credit card firm Lloyds Bank.,"Shares in London rose on Tuesday with the FTSE 100 share index closing 27 points higher at 7,044, the highest level for two months.",155,"The biggest riser was the world's biggest cruise ship operator, Carnival, whose shares rose 3% to £41.45.
Higher ticket prices and greater onboard spending by customers had boosted its quarterly revenues and profits.
Lloyds bank shares rose 2% to 64p after it bought the MBNA credit card firm.
Lloyds paid £1.9bn in its first acquisition since the financial crisis in 2008.
Other significant risers were Barclays bank, up 2.5% to £2.28 per share, and the Prudential insurance company, up 2% to £15.93 per share.
On the currency markets, the pound fell 0.3% against the dollar to $1.235, and was 0.2% lower against the euro at €1.189.","Shares in London rose on Tuesday with the FTSE 100 share index closing 27 points higher at 7,044, the highest level for two months."
142,Welsh gymnast and Great Britain medal-winner Jessica Ingham beat world number two Nika Ogles-Hudson by a -51kg margin in London.,Briton James Oates lost in the men's -60kg bronze-medal match against Slovenia's Alina Margvelashvili.,"Britain's Colin Oates took -66kg silver at the European Judo Championships after defeat by Georgia's Vazha Margvelashvili in Kazan, Russia.",156,"Oates, 32, beat Slovenian Adrian Gomboc in the semi-finals but came up short against Margvelashvili in the final.
Fellow Briton Nekoda Davis, 22, lost to Nora Gjakova of Kosova in the -57kg bronze-medal match.
Ashley McKenzie, 26, lost to eventual champion Walide Khyar of France in round two of the men's -60kg.","Britain's Colin Oates took -66kg silver at the European Judo Championships after defeat by Georgia's Vazha Margvelashvili in Kazan, Russia."
143,Dumfries and Galloway has started to put forward plans for a £15m renewable energy scheme to be built on its site of the defunct Aardvark mine.,Plans for a pumped storage hydro project at a coal mine in Dumfries and Galloway have been submitted to councillors.,Plans to build a major hydro scheme on the site of an opencast mine in the south of Scotland have been revealed.,157,"Developers claim the 100MW project at Glenmuckloch, near Kirckconnel, could generate power for more than a century.
It is the latest in a series of renewable energy schemes planned for the site, which is owned by Buccleuch Estates.
They are part of a project to redevelop the opencast mine as Glenmuckloch Energy Park.
The details have emerged in a scoping report for the pumped storage hydro scheme submitted to Dumfries and Galloway Council.
Buccleuch Estates has joined with mining company Hargreaves and 2020 Renewables to draw up the plans.
It will involve creating two reservoirs - one higher than the other - which will be connected by a tunnel with a pump-turbine.
The report states: ""When excess electricity exists within the grid the pump-turbines go into pumping mode lifting water to the upper pond and when demand within the network exceeds available supply the pump-turbines reverse and change to generating mode with water released from the upper pond.""
If the project goes ahead, the lower reservoir will be created from the existing opencast void, while a second, upper pond will be excavated at the head of Halfmerk Hill.
The higher reservoir will have a water depth of 22m (72 feet), creating 3.3million cubic metres of water storage.
The redevelopment of Glenmuckloch follows the collapse of surface mining firm Aardvark TMC in 2013, leaving a shortfall in the money needed to restore the site to its pre-opencast condition.
However since then Buccleuch Estates and Hargreaves have worked to implement a rolling programme of restoration in parallel with coaling operations.
Later this summer two community wind turbines will be built to the west of the hydro site.
Earlier this year plans for an eight turbine wind farm next to the mine were submitted to Dumfries and Galloway Council.",Plans to build a major hydro scheme on the site of an opencast mine in the south of Scotland have been revealed.
144,A clever little tip from the BBC I discovered while doing research for my book.,"The BBC has been experimenting with a way to visualise the dynamics of local politics in the wake of the 2015 election, and I've come up with an idea for a visualisation.",Only people with long memories have clear recollections of simpler times when Professor Robert McKenzie's swingometer could tell the story of successive general elections.,158,"Our part of the country has long been a two-party affair to a greater extent than anywhere else in the country, so a straightforward device pointing this way and then that was almost invariably quite good enough to do the job.
But what, I ask myself, would we need to visualise the infinite variety of 2015?
The best idea I have managed to come up with so far goes like this.
Imagine you suspend a needle from a thread above a table on which you position magnets of varying strengths and political colours in a circle.
They symbolise the interactions between the parties in each constituency.
Lower the needle towards the centre of the table and see which way it points. [Don't worry, BBC graphics designers, I'm not seriously thinking of doing this. Not yet at least!]
But the important point here is that the composition of the different magnets and their respective strengths would be very different from one constituency to another.
In this era of multi-party politics, every single seat is more or less a law unto itself.
Take for example two of our key local marginals, Dudley North and Solihull.
In the Black Country seat, Labour are defending a majority of just 649.
In 2010 their closest challengers were the Conservatives. This time, though, with nine seats on the local council its is UKIP who are breathing down Labour's neck.
Solihull is another key Conservative target. The Liberal Democrats had a majority over them of just 175 last time round. But since then, the Green Party has established itself as a real force in the town, thanks to a potent combination of green belt and housing issues.
Extreme examples though they may be, these two constituencies reinforce the point that whether or not UKIP or the Greens succeed in winning seats themselves, or even come close to doing so, they will undoubtedly have significant and differing impacts on the established parties from one seat to another.
Like a collection of by-elections perhaps?
That may be overstating it. But I am becoming increasingly convinced that this election offers us regional and local broadcasters a unique opportunity to explore the local dynamics of individual seats and to explain the possibility that in the shake-out of seats between the biggest parties it is not unreasonable to envisage gains and losses in both directions.
And what does this tell us about those headline national poll ratings pointing to a hung Parliament, in which the two biggest parties in lock step with each other followed by UKIP, the Liberal Democrats and then the Greens?
Or, about those ""percentage swing to win or lose"" statistics which have been calculated in a predominantly two-party environment?
All it tells us is how little they tell us.
""Never assume"" said the recently-departed doyen of cricket commentators Richie Benaud.
In an election as unpredictable as this, maybe the assumptions about a hung Parliament are themselves suspect. Maybe the answer lies not in the macro but in the micro.
In this contest so full of unexpected twists and turns, how surprising would it really be if the result itself were to spring the biggest surprise of all?",Only people with long memories have clear recollections of simpler times when Professor Robert McKenzie's swingometer could tell the story of successive general elections.
145,"A Kent NHS trust has failed to keep up with changes to patient admission plans, new services and new admissions plans, according to a report.","A hospital trust in East Sussex is to be put into special measures after failing to meet government targets, BBC South East Today has learnt .","A third hospital trust in the South East is expected to be put into special measures, the BBC understands.",159,"East Sussex Healthcare Trust which runs the Conquest Hospital in Hastings and Eastbourne District General Hospital is currently rated as ""inadequate"".
However, BBC South East Today has learned the trust has failed to improve and is likely to be placed into special measures at a meeting on Friday.
The trust said it was awaiting a report to be published and would not comment.
The other trusts currently in special measures include East Kent Hospitals NHS Foundation Trust and Medway NHS Foundation Trust.
Medway's Maritime Hospital was forced to turn away ambulances earlier, and on Wednesday, to help ease the burden on its A&E department.
The East Sussex trust was rated as ""inadequate"" by the Care Quality Commission (CQC) in March, after failing to meeting government targets.
In May, it was criticised by Eastbourne Borough Council, which passed a vote of no confidence in its management.
And in July the chief executive resigned while the trust had to apologise after patients' details were found in the street.
Leadership would appear to be the big problem at this trust. In its March report, the CQC described a ""disconnect between the trust board and it's staff"" and a ""culture where staff were afraid to speak out"".
The trust's problems have been well documented but what has apparently been lacking is any real progress in putting things right.
It's my understanding the CQC feel very little has improved in the last few months.
Friday's meeting between all the stakeholders will be a chance to discuss the way forward but many people I have spoken to in the wider NHS believe special measures will be imposed on the trust.
A spokesman for the trust refused to comment on whether it would be put into special measures.
He said: ""We are waiting for the publication of the CQC report next week and until it is published and they have made any recommendation we are unable to make any further comment.""","A third hospital trust in the South East is expected to be put into special measures, the BBC understands."
146,"The prime minister has vowed to build 100,000 homes for ""start-up homeowners"" by 2026 if he is re-elected as Labour leader.","Prime Minister David Cameron has unveiled plans to build 100,000 new starter homes for first-time buyers in the UK - a pledge he says is ""urgently needed"" by the Conservatives.","First-time buyers in England under the age of 40 could buy a house at 20% below the market rate if the Conservatives are re-elected, David Cameron has pledged.",160,"The Conservative leader said a future government led by him would build 100,000 new homes for such people.
They would be built on brownfield land already identified for development and exempt from some taxes, he said.
He was speaking as the party prepares for its annual conference this weekend.
Conservative politicians and activists will gather in Birmingham from Sunday for what is the final conference before next May's general election.
Unveiling the pledge - an extension of the Help to Buy mortgage scheme - Mr Cameron said the Conservatives wanted more young people to ""achieve the dream"" of owning their own home.
""I want young people who work hard, who do the right thing, to be able to buy a home of their own. So these starter homes will be sold at 20% less than the market value.
""They can't be bought by foreigners, they can't be bought by buy-to-let landlords, they can't be flipped round in a quick sale. They can only be bought by hard working people under the age of 40.""
The starter homes plan would apply only to England, whereas Help to Buy is UK-wide.
That scheme entails the government offering a 20% equity loan to buyers of new-build properties.
Shadow housing minister Emma Reynolds said Mr Cameron had presided over the lowest level of house building in peacetime since the 1920s.
""After four and a half years he now tells us that he is going to deliver for first-time buyers but under his government a record one in four young people are living at home with their parents and young people across the country are priced out of home ownership.
""Labour will make the fundamental changes to the market which are urgently needed and will double the number of first-time buyers in the next 10 years.""
Campbell Robb, of homelessness charity Shelter, welcomed the pledge but said it was ""absolutely vital"" that the homes built were ""genuinely affordable for young couples and families on ordinary incomes"".
""There's a real concern that removing the requirement on developers to build affordable housing means this policy may not help those facing the greatest struggle to get a home of their own,"" he said.
Grainia Long, of the Chartered Institute of Housing, said she welcomed ""the focus on supply and affordability"" but still had ""some serious concerns"".
She said: ""This smacks of building for one group of people at the expense of another.
""Social housing is critical if we are going to solve the housing crisis - there are always going to be people who can't afford to buy and we must provide decent, affordable homes for them too.
""Equally, we'd like to see more investment in shared ownership to help people on lower incomes. If all the focus is on home ownership, we are never going to build mixed communities.""
Under the new proposals, the homes would be built on brownfield land which was no longer needed for industrial or commercial use.
Savings from using such land would be passed on to the buyers, the Conservatives said.
Public sector land would also be used to deliver the pledge.
The homes would be exempt ""from a raft of taxes"", Mr Cameron said, such as the community infrastructure levy and a requirement to build social housing as part of any development.
Some building regulations - including the zero carbon homes standard - would also not apply to the new units.
The zero carbon homes standard, which applies from 2016, aims to improve energy efficiency.
It requires house builders to decrease all carbon emissions from energy arising from fixed heating and lighting, hot water and other fixed building services - such as ventilation - in new homes.","First-time buyers in England under the age of 40 could buy a house at 20% below the market rate if the Conservatives are re-elected, David Cameron has pledged."
147,A teenage physics teacher has told how dust from an asbestos-covered music room caused her mesothelioma that ended her life last year.,A former teacher who has mesothelioma has said she may have been affected by asbestos in a music room at a Hackney school.,A mother-of-three who believes she was exposed to asbestos as a schoolgirl has been diagnosed with a cancer often related to the toxic substance.,162,"Lisa Doughty, who has mesothelioma, was a pupil at Haggerston Girls' School in Hackney, east London in the 1980s.
The 47-year-old said the music desks were often covered in dust, which may have had asbestos particles.
Hackney Council said it had not received a formal claim and could not investigate until it did.
Ms Doughty said she had spent a lot of time in the music room each week rehearsing plays.
""We used to sit on the desks and have to wipe white dust off them,"" she said.
""There were two heavy doors at the entrance to the music room and these would constantly slam, shaking the room. The school was in pretty bad repair so maybe the dust came down from the ceiling when the door closed.""
Ms Doughty said if it was proved the music room was the cause of her cancer, then it was ""possible that many others have been affected"".
""I wanted to raise awareness of this and to appeal for anyone else who has been affected, pupils or teachers, to get in touch.""
Ms Doughty's lawyers, Slater and Gordon, have found that asbestos ceiling tiles were in place during the time that she was a pupil at the school.
They are considering taken further legal action.
A Hackney Council spokesman said: ""Asbestos was historically used extensively in both public and private buildings due to its fire retardant properties and, as with any building of this age, Haggerston School has been subject to regular condition and asbestos surveys and removals.""
Edmund Young, an asbestos-related disease specialist at the law firm, said: ""Mesothelioma is traditionally a form of cancer that has affected those working in industrial jobs, but we are seeing more and more people - both teachers and former pupils - coming to us who have breathed in asbestos particles while at school.""",A mother-of-three who believes she was exposed to asbestos as a schoolgirl has been diagnosed with a cancer often related to the toxic substance.
148,Ulster lock Chris Henry has signed a new five-and-a-half-year contract extension after reaching his first Six Nations final.,Chris Henry has signed a three-year contract extension with Ulster after signing a two-year deal with the Republic of Ireland last summer.,Ulster forward Chris Henry has signed a new three-year deal keeping him at Ravenhill until 2017.,163,"The 29-year-old is the latest player to pledge his future to Ulster after Ruan Pienaar, Nick Williams and Robbie Diack all signed contract extensions.
""I am delighted to have committed to Ulster for the long term,"" said Henry.
""It is a great team to be a part of, and there is no doubt when it comes to winning silverware, we have some unfinished business.""
Henry, who has won eight caps for Ireland as well as playing 109 times for Ulster, is hoping to win a trophy with the province after defeats in the Heineken Cup final and Pro12 final in the past two seasons.
He is also targeting a place in Joe Schmidt's Ireland squad for the World Cup in 2015.
""In my opinion, being at Ulster gives me the best chance to fulfil that ambition,"" he said.
""This squad is getting better and better.
""We have experience as well as young players coming through, who are proving that they can perform at the very highest level.""
Ulster's Director of Rugby David Humphreys said: ""Chris has been a cornerstone of our success in recent years"".
""His performance against Montpellier typified what he brings to the Ulster team, namely commitment, intensity and ferocity at the breakdown.
""It would be hard to find anyone who is more passionate about playing for Ulster than Chris Henry and I am extremely pleased he will be part of the squad until at least 2017.""",Ulster forward Chris Henry has signed a new three-year deal keeping him at Ravenhill until 2017.
149,"AirAsia, Thailand's biggest, and its regional rivals Jet2 and Cathay Pacific, have been struggling in Indonesia's low-cost economy for years.","Indonesian airline AirAsia has posted a net loss of £63.4m in the fourth quarter, the airline group has said.","Shares in Asia's biggest budget airline, AirAsia, fell as much as 7% on Friday after the firm posted a loss for the three months to September.",165,"The Malaysian-based airline, which has operations in Indonesia and the Philippines, among others, posted a net loss on Thursday of 405.73 Malaysian ringgit ($95.8m; Â£63.4m).
The firm's earnings were hurt by foreign exchange, it said.
Its Indonesian operations also dragged on the firm's bottom line.
AirAsia's share of Indonesia AirAsia's net loss in the period came to 155.7m Malaysian ringgit.
However, the firm said it was working towards a better fourth quarter.
""We are working on increasing capacity in the fourth quarter to meet the strong demand due to the year end holidays and festivities,"" it said.
Thursday's results come one day after the airline group posted the eighth straight quarter of losses at its long haul service, Air Asia X.
Next week, Indonesia's national transport safety board is expected to announce the findings of AirAsia's deadly crash that occurred in December 2014 when one of its carriers crashed into the Java Sea off of Indonesia, killing all 162 people on board.","Shares in Asia's biggest budget airline, AirAsia, fell as much as 7% on Friday after the firm posted a loss for the three months to September."
150,Students of India are protesting at the Jawaharlal Nehru University against Mr Kanhaiya Kumar's arrest.,Students at the Hindustan University of Technology (JNU) have protested against the arrest of a student leader who has been charged with sedition.,The BBC's Vikas Pandey spends a day inside India's prestigious Jawaharlal Nehru University (JNU) in Delhi amidst the highly charged debate over the arrest of a student leader on sedition charges.,167,"The area near the main administrative block of JNU is filled with passionate students.
They cheer loudly as a speaker climbs on to a stage.
Slogans like ""free Kanhaiya Kumar"" and ""long live revolution"" fill the air as hundreds of visibly agitated students pour into the area.
Those gathered here believe that Mr Kumar, the leader of the university's student union, is innocent of the sedition charges levelled against him, and are shocked by the fact that police entered the university to arrest him on Saturday.
Police have alleged he organised an event commemorating the hanging of 2001 Parliament attacks convict Afzal Guru, where ""anti-India slogans"" were raised.
The students here passionately defend Mr Kumar when I ask them what actually happened at the event.
""We are not terrorists. We are just students and we also condemn anti-India slogans. Our president had nothing to do with those slogans at the event,"" a student tells me.
But she refuses to speak on camera.
""I don't want to be seen on camera. I am worried about my safety,"" she says.
Student activist Shreya Ghosh speaks of the fear prevailing inside the university.
""We have been sleeping in different rooms every night to avoid arrest,"" she says.
Another student activist Deepshita claims that ideological politics lies at the heart of Mr Kumar's arrest.
""Right-wing students want to increase their foothold in the university and that is why they got him [Mr Kumar] arrested. They feel bolstered because the right-wing BJP party is in power at the centre,"" she says.
Professor Rajarshi Dasgupta agrees.
It's 3pm and speakers are becoming more ferocious in their attack on Prime Minister Narendra Modi and his BJP party.
Among the speakers is Prof Ajith Kanna.
""If Kanhaiya is anti-national, then I am also anti-national,"" he tells the cheering crowd.
But he pleads with his students to remain peaceful and not pay attention to rumours.
And rumours are not in short supply, flying across the tension filled campus. Among them are that more than 100 armed right-wing activists have entered the campus.
I meet right-wing student group Akhil Bharatiya Vidyarthi Parishad (ABVP) member Saurabh Kumar a few blocks away from the protest site.
""The law will decide whether he [Kanhaiya Kumar] is guilty or not but we won't tolerate anti-India activities inside this campus,"" he says.
But not everyone is protesting.
At one of the student housing facilities, I meet PhD students Bibas Sewa and Bijay Thapa.
The two condemn the arrest of Mr Kumar, but agree that the protests have disrupted their studies.
Even at a time when politics has gripped JNU, there are some students who just want to get on with their work.",The BBC's Vikas Pandey spends a day inside India's prestigious Jawaharlal Nehru University (JNU) in Delhi amidst the highly charged debate over the arrest of a student leader on sedition charges.
151,South Africa batsman Adam Ronchi has signed a one-year contract with Super League side Chesterfield.,County cricketer Joe Ronchi has signed a new contract extension with the club after being suspended by the Pakistan Cricket Commission.. he has been named as the new captain of Somerset County Cricket Club.,Leicestershire have signed New Zealand wicketkeeper Luke Ronchi for their 2017 T20 Blast campaign.,168,"The 35-year-old replaces Pakistan international Sharjeel Khan, who has been provisionally suspended from the Pakistan Super League as part of an ongoing anti-corruption investigation.
Ronchi has played 32 T20 internationals and can play in all 14 T20 group games.
He has previously played in England for Somerset and Warwickshire, as well as touring with New Zealand.
""It seems like an exciting time at the club with a few personnel changes and talented additions,"" Ronchi said.
""I love playing county cricket and can't wait to get started.
""I hope I can make a difference both on and off the field and contribute to a successful campaign.""",Leicestershire have signed New Zealand wicketkeeper Luke Ronchi for their 2017 T20 Blast campaign.
152,Police are trying to find exactly what happened on Snowfrost Road after a car crashed into a tree.,Police have reopened a section of the Glen Road after an object was found in a car park on a busy street in Glasgow.,The windscreen of a police Land Rover has been cracked after an object was thrown at the vehicle in west Belfast.,169,"The incident happened on the Glen Road shortly before 01:00 BST on Sunday.
Police say at this stage they do not know what the object was.
They carried out searches in the area as a precaution, but nothing was found.  The Glen Road has now reopened.",The windscreen of a police Land Rover has been cracked after an object was thrown at the vehicle in west Belfast.
153,"Welsh comedian Lewis Black, who is currently touring the UK, has been diagnosed with brain cancer.",The BBC has updated its Breaking News page to reflect the latest breaking news from the BBC and the BBC's newsrooms in the UK.,Singer and TV entertainer Val Doonican has died aged 88,170,"This breaking news story is being updated and more details will be published shortly. Please refresh the page for the fullest version.
If you want to receive Breaking News alerts via email, or on a smartphone or tablet via the BBC News App then details on how to do so are available on this help page. You can also follow @BBCBreaking on Twitter to get the latest alerts.",Singer and TV entertainer Val Doonican has died aged 88
154,"Despite being a Formula 1 track and hosting the most prestigious test event in all of motorsport, which is on a world-famous oval, the Singapore Grand Prix has a distinctly Formula 1 vibe.","There are only two F1 races in the world that aren't quite as exciting as the other, but there are two races that are truly special.","Of all the new races that have been added to the Formula 1 calendar in the last 15 years or so, only two have really cut through to establish themselves as something special.",171,"One is the US Grand Prix in Austin, Texas; the other is Singapore.
Each one has that certain je ne sais quoi that lifts them out of the humdrum and makes them exceptional.
As far as Singapore goes, it's no surprise it has become second only to Monaco as the place where most business gets done over a grand prix weekend. It's a place you just really want to go.
That message permeates, and has made it into one of the most desirable races on the calendar.
For a start, the ambience is terrific - and, let's be honest, this is what appeals to the business visitors, rather than the demands of racing on one of the longest tracks in F1 in crippling humidity.
Singapore is a fascinating destination full stop, thanks to its place at the crossroads of south-east Asia and colonial past. But hosting the race at night adds an extra dimension.
The track jags through the city centre under lights, Chinese lanterns adding a dash of colour, the futuristic city skyline the backdrop.
As the sun sets, the whole place seems to shimmer and sparkle for a while. Darkness takes the edge off the tropical heat, and a heady, luscious tropical atmosphere settles over the place.
For those working at the race, there's a surreal edge to it, too.
Know someone who volunteers in sport and deserves recognition for their efforts? Give them the chance to shine by nominating them.
First track sessions at dusk, qualifying and race after dark means staying on European time. So you wake up at 2pm, finish work in the early hours and go to bed at six in the morning.
You can eat in a hotel restaurant, some of which stay open all night for the race weekend. Better, though, to head to an all-night hawkers' market, where delicious, cheap local food is on offer from a myriad of stalls and you can drink in the atmosphere of the place.
Oh, and the track is pretty good, too. It's no Spa or Suzuka, but the Marina Bay Circuit has a challenge all of its own.
A long, long lap, a nearly two-hour race, bumps, 23 corners and intense humidity make it arguably the toughest grand prix on the calendar - only Malaysia comes close.
Add it all up and it's a race not to be missed.
Andrew Benson, chief F1 writer
Subscribe to the BBC Sport newsletter to get our pick of news, features and video sent to your inbox.","Of all the new races that have been added to the Formula 1 calendar in the last 15 years or so, only two have really cut through to establish themselves as something special."
